City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
0,Boueni,YT,-12.9025,45.0761,76.98,71,14,8.28,few clouds
1,Yzeure,FR,46.5644,3.355,39.29,84,83,9.64,broken clouds
2,Chifeng,CN,42.2683,118.9636,29.19,47,85,4.36,overcast clouds
3,Port Elizabeth,ZA,-33.918,25.5701,71.78,87,40,8.21,scattered clouds
4,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,40,6.91,scattered clouds
5,Zhezkazgan,KZ,47.8043,67.7144,22.12,63,100,14.27,overcast clouds
6,Ahipara,NZ,-35.1667,173.1667,63.01,97,72,4.29,broken clouds
7,Strezhevoy,RU,60.7333,77.5889,21.18,77,100,12.8,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,55.06,62,40,13.8,scattered clouds
9,Kaitangata,NZ,-46.2817,169.8464,50.4,85,100,4.03,light rain
10,Semenivka,UA,52.1783,32.5818,37.6,98,100,18.45,overcast clouds
11,Chippenham,GB,51.46,-2.1247,44.33,82,11,12.48,few clouds
12,Atuona,PF,-9.8,-139.0333,77.94,73,49,15.08,scattered clouds
13,Talnakh,RU,69.4865,88.3972,-28.75,98,82,7.94,broken clouds
14,Komsomolskiy,UZ,40.4272,71.7189,36.82,74,54,4.61,mist
15,Vaini,TO,-21.2,-175.2,75.36,94,20,5.75,few clouds
16,Cherskiy,RU,68.75,161.3,-42.56,97,99,4.81,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,76.03,73,98,18.16,overcast clouds
18,Georgetown,MY,5.4112,100.3354,79.9,88,20,1.01,few clouds
19,Kapaa,US,22.0752,-159.319,75.52,77,75,1.01,light rain
20,Barrow,US,71.2906,-156.7887,-2.18,84,90,5.75,overcast clouds
21,Itaguai,BR,-22.8522,-43.7753,80.58,66,41,9.17,scattered clouds
22,Fortuna,US,40.5982,-124.1573,41.36,60,1,4.61,clear sky
23,Tuatapere,NZ,-46.1333,167.6833,46.74,91,100,2.84,overcast clouds
24,Hilo,US,19.7297,-155.09,71.62,83,75,4.61,broken clouds
25,Dejen,ET,10.1667,38.1333,55.69,12,1,6.04,clear sky
26,Bluff,NZ,-46.6,168.3333,53.35,79,100,9.33,overcast clouds
27,Tsurib,RU,42.2368,46.8307,31.93,73,44,8.34,scattered clouds
28,Edson,CA,53.5835,-116.4356,13.98,79,62,4.72,broken clouds
29,Khatanga,RU,71.9667,102.5,-33.72,100,100,4.92,overcast clouds
30,Whitehorse,CA,60.7161,-135.0538,5.09,96,91,6.46,overcast clouds
31,Busselton,AU,-33.65,115.3333,58.08,86,5,4.99,clear sky
32,Sistranda,NO,63.7256,8.834,33.91,66,4,8.41,clear sky
33,Saldanha,ZA,-33.0117,17.9442,63.99,91,55,11.52,broken clouds
34,Babu,CN,24.4167,111.5167,61.29,72,16,1.59,few clouds
35,Severo-Kurilsk,RU,50.6789,156.125,32.85,83,11,1.48,few clouds
36,Thompson,CA,55.7435,-97.8558,0.72,89,20,7.34,few clouds
37,Voyskovitsy,RU,59.5287,29.964,10.94,85,94,11.16,overcast clouds
38,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,90,5.01,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,69.91,85,54,10.33,broken clouds
40,Albany,US,42.6001,-73.9662,42.8,66,99,1.01,overcast clouds
41,Hobart,AU,-42.8794,147.3294,51.66,87,90,1.99,overcast clouds
42,Hasaki,JP,35.7333,140.8333,36.0,69,19,9.26,few clouds
43,Grand Gaube,MU,-20.0064,57.6608,79.2,70,100,5.01,overcast clouds
44,Boueni,YT,-12.9025,45.0761,76.98,71,14,8.28,few clouds
45,Yzeure,FR,46.5644,3.355,39.29,84,83,9.64,broken clouds
46,Chifeng,CN,42.2683,118.9636,29.19,47,85,4.36,overcast clouds
47,Port Elizabeth,ZA,-33.918,25.5701,71.78,87,40,8.21,scattered clouds
48,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,40,6.91,scattered clouds
49,Zhezkazgan,KZ,47.8043,67.7144,22.12,63,100,14.27,overcast clouds
50,Ahipara,NZ,-35.1667,173.1667,63.01,97,72,4.29,broken clouds
51,Strezhevoy,RU,60.7333,77.5889,21.18,77,100,12.8,overcast clouds
52,Ushuaia,AR,-54.8,-68.3,55.06,62,40,13.8,scattered clouds
53,Kaitangata,NZ,-46.2817,169.8464,50.4,85,100,4.03,light rain
54,Semenivka,UA,52.1783,32.5818,37.6,98,100,18.45,overcast clouds
