City_ID,City,Country,Max Temp,current Description,Lat,Lng,Hotel Name
0,Boueni,YT,76.98,few clouds,-12.9025,45.0761,The feet in water
4,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
12,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Villa Enata
17,Rikitea,PF,76.03,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
21,Itaguai,BR,80.58,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
38,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
44,Boueni,YT,76.98,few clouds,-12.9025,45.0761,The feet in water
48,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
56,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Villa Enata
61,Rikitea,PF,76.03,overcast clouds,-23.1203,-134.9692,People ThankYou
62,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
65,Itaguai,BR,80.58,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
82,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
96,Kapoeta,SS,88.11,overcast clouds,4.7717,33.5903,Eastgate Hotel
98,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
101,Kavieng,PG,82.63,moderate rain,-2.5744,150.7967,Nusa Island Retreat
102,Gamba,GA,79.29,light rain,-2.65,10.0,
109,Castro,BR,78.19,clear sky,-24.7911,-50.0119,CHACARA BAILLY
120,Curuca,BR,81.86,overcast clouds,-0.7289,-47.8481,Hotel Curuça
122,Micheweni,TZ,79.27,light rain,-4.9667,39.8333,
124,Takoradi,GH,82.45,overcast clouds,4.8845,-1.7554,Raybow International Hotel
