City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,AU,2021-12-07 19:06:07,-28.7667,114.6,68.41,88,0,8.05
1,Hobart,AU,2021-12-07 19:03:33,-42.8794,147.3294,44.46,81,40,8.05
2,Castro,BR,2021-12-07 19:01:06,-24.7911,-50.0119,64.31,76,75,12.71
3,Barrow,US,2021-12-07 19:02:25,71.2906,-156.7887,19.42,79,90,21.85
4,Rikitea,PF,2021-12-07 19:01:03,-23.1203,-134.9692,75.4,71,100,22.79
5,Butaritari,KI,2021-12-07 19:01:15,3.0707,172.7902,82.53,77,83,15.08
6,Puerto Ayora,EC,2021-12-07 19:01:13,-0.7393,-90.3518,70.47,77,91,9.44
7,Airai,TL,2021-12-07 19:07:53,-8.9266,125.4092,60.62,93,53,1.61
8,Bredasdorp,ZA,2021-12-07 19:02:30,-34.5322,20.0403,64.27,81,100,9.71
9,Punta Arenas,CL,2021-12-07 19:01:04,-53.15,-70.9167,51.12,42,73,25.26
10,Vaini,TO,2021-12-07 19:01:10,-21.2,-175.2,76.28,79,100,20.54
11,Bonavista,CA,2021-12-07 19:03:40,48.6499,-53.1147,59.11,89,100,32.84
12,Orlik,RU,2021-12-07 19:10:16,52.5178,99.825,6.44,85,100,1.83
13,Inhambane,MZ,2021-12-07 19:01:11,-23.865,35.3833,78.78,94,20,3.44
14,Pangnirtung,CA,2021-12-07 19:08:57,66.1451,-65.7125,10.4,67,75,3.44
15,Kodiak,US,2021-12-07 19:03:47,57.79,-152.4072,28.92,60,8,38.77
16,Qaanaaq,GL,2021-12-07 19:02:24,77.484,-69.3632,12.65,68,94,10.29
17,Bandarbeyla,SO,2021-12-07 19:10:17,9.4942,50.8122,76.77,69,54,18.7
18,Busselton,AU,2021-12-07 18:57:21,-33.65,115.3333,62.04,62,8,17.43
19,Dunedin,NZ,2021-12-07 19:10:17,-45.8742,170.5036,55.45,80,8,3.31
20,Ulaangom,MN,2021-12-07 19:10:18,49.9811,92.0667,8.78,93,67,3.96
21,Tasiilaq,GL,2021-12-07 19:02:19,65.6145,-37.6368,24.96,63,11,8.41
22,Jamestown,US,2021-12-07 18:56:59,42.097,-79.2353,27.99,91,100,5.99
23,Auchi,NG,2021-12-07 19:10:18,7.0667,6.2667,84.63,44,55,0.98
24,Roald,NO,2021-12-07 19:10:19,62.5833,6.1333,37.54,56,40,13.8
25,Beberibe,BR,2021-12-07 19:10:19,-4.1797,-38.1306,87.17,67,46,12.33
26,Ilulissat,GL,2021-12-07 19:02:20,69.2167,-51.1,17.62,53,75,12.66
27,Sterling,US,2021-12-07 19:07:45,39.0062,-77.4286,44.74,39,75,1.99
28,Saskylakh,RU,2021-12-07 19:10:20,71.9167,114.0833,-11.81,97,100,6.29
29,Rawson,AR,2021-12-07 19:10:20,-43.3002,-65.1023,92.64,26,100,11.52
30,Kavieng,PG,2021-12-07 19:10:20,-2.5744,150.7967,82.31,82,100,12.71
31,Saldanha,ZA,2021-12-07 19:04:49,-33.0117,17.9442,62.13,85,48,24.07
32,Cape Town,ZA,2021-12-07 18:59:17,-33.9258,18.4232,65.26,76,20,5.99
33,Port Hardy,CA,2021-12-07 19:10:21,50.6996,-127.4199,47.75,92,100,14.81
34,Namibe,AO,2021-12-07 19:03:35,-15.1961,12.1522,73.02,58,7,10.83
35,Matara,LK,2021-12-07 19:01:16,5.9485,80.5353,76.41,88,95,6.62
36,Hithadhoo,MV,2021-12-07 19:02:22,-0.6,73.0833,81.91,80,100,12.8
37,Uyar,RU,2021-12-07 19:10:21,55.81,94.3153,31.64,83,100,14.58
38,Mehamn,NO,2021-12-07 19:10:22,71.0357,27.8492,21.38,63,0,27.63
39,Kalat,PK,2021-12-07 19:10:22,29.0225,66.5916,38.8,27,0,3.89
40,Tuktoyaktuk,CA,2021-12-07 19:03:16,69.4541,-133.0374,4.35,89,99,8.1
41,Hilo,US,2021-12-07 19:01:07,19.7297,-155.09,77.61,1,68,13.58
42,Mataura,NZ,2021-12-07 19:01:17,-46.1927,168.8643,55.47,73,100,2.42
43,New Norfolk,AU,2021-12-07 19:01:09,-42.7826,147.0587,44.1,72,99,1.81
44,Clyde River,CA,2021-12-07 19:08:49,70.4692,-68.5914,-8.01,97,22,3.67
45,Avarua,CK,2021-12-07 19:03:46,-21.2078,-159.775,77.05,88,90,4.61
46,Camacha,PT,2021-12-07 19:11:23,33.0833,-16.3333,60.22,59,40,8.05
47,Bubaque,GW,2021-12-07 19:11:24,11.2833,-15.8333,81.82,74,100,10.18
48,Oranjemund,NA,2021-12-07 19:11:24,-28.55,16.4333,62.62,82,0,16.31
49,Bereda,ES,2021-12-07 19:11:25,43.2686,-7.5406,44.58,99,95,6.73
50,Torbay,CA,2021-12-07 19:00:07,47.6666,-52.7314,59.76,91,100,10.0
51,Sarankhola,BD,2021-12-07 19:11:25,22.3082,89.7897,68.7,95,0,5.12
52,Rio Gallegos,AR,2021-12-07 19:11:25,-51.6226,-69.2181,57.83,24,100,35.03
53,Port Alfred,ZA,2021-12-07 19:06:17,-33.5906,26.891,67.48,74,74,14.94
54,Neuquen,AR,2021-12-07 19:10:39,-38.9516,-68.0591,82.29,57,75,6.91
55,Albany,US,2021-12-07 19:00:17,42.6001,-73.9662,37.45,71,100,7.9
56,Kapaa,US,2021-12-07 19:07:24,22.0752,-159.319,78.78,86,1,14.97
57,Arraial Do Cabo,BR,2021-12-07 19:07:37,-22.9661,-42.0278,75.06,73,75,4.61
58,Mizan Teferi,ET,2021-12-07 19:11:27,6.9833,35.5833,66.83,61,12,1.95
59,Quatre Cocos,MU,2021-12-07 19:11:27,-20.2078,57.7625,77.11,69,21,12.53
60,Sulangan,PH,2021-12-07 19:11:27,11.1373,123.7228,78.26,90,100,27.54
61,Lagoa,PT,2021-12-07 19:11:28,39.05,-27.9833,60.85,59,1,16.4
62,Castelo Do Piaui,BR,2021-12-07 19:11:28,-5.3222,-41.5525,97.32,26,99,6.49
63,Luena,AO,2021-12-07 19:11:29,-11.7833,19.9167,68.14,76,68,0.4
64,Bluff,NZ,2021-12-07 19:03:36,-46.6,168.3333,55.8,80,100,6.98
65,Severo-Kurilsk,RU,2021-12-07 19:07:26,50.6789,156.125,29.73,60,96,22.44
66,Saint-Philippe,RE,2021-12-07 19:03:47,-21.3585,55.7679,76.59,83,37,10.92
67,Amambai,BR,2021-12-07 19:11:29,-23.1042,-55.2258,88.0,30,11,5.46
68,Simao,CN,2021-12-07 19:11:30,22.7886,100.9748,51.3,88,3,2.24
69,Souillac,MU,2021-12-07 19:06:07,-20.5167,57.5167,77.38,83,40,5.75
70,Brae,GB,2021-12-07 19:11:30,60.3964,-1.353,44.51,72,100,21.68
71,Naregal,IN,2021-12-07 19:11:31,15.5833,75.8167,71.85,58,0,5.08
72,Koygorodok,RU,2021-12-07 19:11:31,60.445,50.9968,5.61,92,100,5.46
73,Constitucion,CL,2021-12-07 19:08:46,-35.3333,-72.4167,64.04,63,0,6.71
74,Falun,SE,2021-12-07 19:11:31,60.6036,15.626,0.01,97,100,1.88
75,Mnogovershinnyy,RU,2021-12-07 19:11:32,53.9353,139.9242,1.04,82,11,7.54
76,Yellowknife,CA,2021-12-07 19:06:09,62.456,-114.3525,-7.49,88,17,13.96
77,Mar Del Plata,AR,2021-12-07 19:00:29,-38.0023,-57.5575,67.87,89,0,28.01
